Opened FLX-device 0, firmw FLX712-LPGBT-2x10CH-231012-122-GIT:rm-5.0/3463
[36mRunning:  i2c_check.py -d 0 -G 0

***FLX-device number is 0. GBT-link number is 0.***

Reg  0x2016 0b1110010 114
Reg  0x2017 0b0 0
Reg  0x2018 0b0 0
Reg  0x2019 0b11111010 250
Reg  0x201a 0b1100100 100
Reg  0x201b 0b0 0
Reg  0x201c 0b0 0
Reg  0x201d 0b1000000 64
Reg  0x201e 0b0 0
Reg  0x201f 0b0 0
Reg  0x2020 0b0 0
Reg  0x2021 0b0 0
Reg  0x2022 0b0 0
Reg  0x2023 0b0 0
Reg  0x2024 0b0 0
Reg  0x2025 0b0 0
Reg  0x0 0b0 0
Reg  0x1 0b0 0
Reg  0x2 0b10 2
Reg  0x3 0b1111110 126
Reg  0x4 0b10000000 128
Reg  0x5 0b10 2
Reg  0x6 0b0 0
Reg  0x7 0b0 0
Reg  0x10 0b0 0
Reg  0x11 0b0 0
Reg  0x12 0b10 2
Reg  0x13 0b1111110 126
Reg  0x14 0b10000000 128
Reg  0x15 0b10 2
Reg  0x16 0b0 0
Reg  0x17 0b0 0
Reg  0x20 0b0 0
Reg  0x21 0b0 0
Reg  0x22 0b10 2
Reg  0x23 0b1111110 126
Reg  0x24 0b10000000 128
Reg  0x25 0b10 2
Reg  0x26 0b0 0
Reg  0x27 0b0 0
Reg  0x30 0b0 0
Reg  0x31 0b0 0
Reg  0x32 0b10 2
Reg  0x33 0b1111110 126
Reg  0x34 0b10000000 128
Reg  0x35 0b10 2
Reg  0x36 0b0 0
Reg  0x37 0b0 0
Reg  0x40 0b0 0
Reg  0x41 0b0 0
Reg  0x42 0b10 2
Reg  0x43 0b1111110 126
Reg  0x44 0b10000000 128
Reg  0x45 0b10 2
Reg  0x46 0b0 0
Reg  0x47 0b0 0
Reg  0x50 0b0 0
Reg  0x51 0b0 0
Reg  0x52 0b10 2
Reg  0x53 0b1111110 126
Reg  0x54 0b10000000 128
Reg  0x55 0b10 2
Reg  0x56 0b0 0
Reg  0x57 0b0 0
Reg  0x60 0b0 0
Reg  0x61 0b0 0
Reg  0x62 0b10 2
Reg  0x63 0b1111110 126
Reg  0x64 0b10000000 128
Reg  0x65 0b10 2
Reg  0x66 0b0 0
Reg  0x67 0b0 0
Reg  0x70 0b0 0
Reg  0x71 0b0 0
Reg  0x72 0b10 2
Reg  0x73 0b1111110 126
Reg  0x74 0b10000000 128
Reg  0x75 0b10 2
Reg  0x76 0b0 0
Reg  0x77 0b0 0
Reg  0x80 0b0 0
Reg  0x81 0b0 0
Reg  0x82 0b10 2
Reg  0x83 0b1111110 126
Reg  0x84 0b10000000 128
Reg  0x85 0b10 2
Reg  0x86 0b0 0
Reg  0x87 0b0 0
Reg  0x90 0b0 0
Reg  0x91 0b0 0
Reg  0x92 0b10 2
Reg  0x93 0b1111110 126
Reg  0x94 0b10000000 128
Reg  0x95 0b10 2
Reg  0x96 0b0 0
Reg  0x97 0b0 0
Reg  0xa0 0b0 0
Reg  0xa1 0b0 0
Reg  0xa2 0b10 2
Reg  0xa3 0b1111110 126
Reg  0xa4 0b10000000 128
Reg  0xa5 0b10 2
Reg  0xa6 0b0 0
Reg  0xa7 0b0 0
Reg  0xb0 0b0 0
Reg  0xb1 0b0 0
Reg  0xb2 0b10 2
Reg  0xb3 0b1111110 126
Reg  0xb4 0b10000000 128
Reg  0xb5 0b10 2
Reg  0xb6 0b0 0
Reg  0xb7 0b0 0
Reg  0xc0 0b0 0
Reg  0xc1 0b0 0
Reg  0xc2 0b10 2
Reg  0xc3 0b1111110 126
Reg  0xc4 0b10000000 128
Reg  0xc5 0b10 2
Reg  0xc6 0b0 0
Reg  0xc7 0b0 0
Reg  0xd0 0b0 0
Reg  0xd1 0b0 0
Reg  0xd2 0b10 2
Reg  0xd3 0b1111110 126
Reg  0xd4 0b10000000 128
Reg  0xd5 0b10 2
Reg  0xd6 0b0 0
Reg  0xd7 0b0 0
Reg  0xe0 0b0 0
Reg  0xe1 0b0 0
Reg  0xe2 0b10 2
Reg  0xe3 0b1111110 126
Reg  0xe4 0b10000000 128
Reg  0xe5 0b10 2
Reg  0xe6 0b0 0
Reg  0xe7 0b0 0
Reg  0xf0 0b0 0
Reg  0xf1 0b0 0
Reg  0xf2 0b10 2
Reg  0xf3 0b1111110 126
Reg  0xf4 0b10000000 128
Reg  0xf5 0b10 2
Reg  0xf6 0b0 0
Reg  0xf7 0b0 0
Reg  0x100 0b0 0
Reg  0x101 0b0 0
Reg  0x102 0b10 2
Reg  0x103 0b0 0
Reg  0x104 0b10000000 128
Reg  0x105 0b10 2
Reg  0x106 0b0 0
Reg  0x107 0b0 0
Reg  0x110 0b0 0
Reg  0x111 0b0 0
Reg  0x112 0b10 2
Reg  0x113 0b0 0
Reg  0x114 0b10000000 128
Reg  0x115 0b10 2
Reg  0x116 0b0 0
Reg  0x117 0b0 0
Reg  0x120 0b0 0
Reg  0x121 0b0 0
Reg  0x122 0b10 2
Reg  0x123 0b0 0
Reg  0x124 0b10000000 128
Reg  0x125 0b10 2
Reg  0x126 0b0 0
Reg  0x127 0b0 0
Reg  0x130 0b0 0
Reg  0x131 0b0 0
Reg  0x132 0b10 2
Reg  0x133 0b0 0
Reg  0x134 0b10000000 128
Reg  0x135 0b10 2
Reg  0x136 0b0 0
Reg  0x137 0b0 0
Reg  0x140 0b0 0
Reg  0x141 0b0 0
Reg  0x142 0b10 2
Reg  0x143 0b0 0
Reg  0x144 0b10000000 128
Reg  0x145 0b10 2
Reg  0x146 0b0 0
Reg  0x147 0b0 0
Reg  0x150 0b0 0
Reg  0x151 0b0 0
Reg  0x152 0b10 2
Reg  0x153 0b0 0
Reg  0x154 0b10000000 128
Reg  0x155 0b10 2
Reg  0x156 0b0 0
Reg  0x157 0b0 0
